Date,ADS.DE,AI.PA,ALV.DE,ASML.AS,CS.PA,BBVA.MC,SAN.MC,BAS.DE,BAYN.DE,BMW.DE,BNP.PA,SGO.PA,DAI.DE,DTE.DE,ENEL.MI,ENGI.PA,ENI.MI,EOAN.DE,EL.PA,FRE.DE,BN.PA,IBE.MC,INGA.AS,ISP.MI,OR.PA,MC.PA,MUV2.DE,ORA.PA,PHIA.AS,SAF.PA,SAN.PA,SAP.DE,SU.PA,SIE.DE,TEF.MC,FP.PA,URW.AS,UNA.AS,DG.PA,VIV.PA,VOW.DE
2006-01-25,32.84478759765625,29.76300048828125,69.89789581298828,21.475345611572266,7.500242233276367,7.212465763092041,3.629577398300171,15.917984962463379,21.43443489074707,23.243295669555664,33.52778625488281,30.75794792175293,24.855854034423828,5.138391017913818,2.411802053451538,10.212360382080078,9.833423614501953,11.682718276977539,27.948040008544922,10.777796745300293,26.41013526916504,2.800912618637085,11.07622241973877,1.8022303581237793,48.48894119262695,53.080406188964844,54.97654342651367,7.362262725830078,15.293525695800781,16.305126190185547,40.90154266357422,31.305580139160156,20.42826271057129,42.98604202270508,4.710302352905273,24.654518127441406,44.82988739013672,10.44968318939209,20.688196182250977,10.295007705688477,35.22465515136719
2006-01-26,32.98173141479492,29.92009925842285,71.59416198730469,22.12042808532715,7.778027534484863,7.4211859703063965,3.694160223007202,15.89012622833252,21.13263511657715,23.325429916381836,34.342037200927734,32.04326629638672,25.67852783203125,5.202073574066162,2.4170379638671875,10.444371223449707,9.915535926818848,11.803476333618164,28.026546478271484,10.937735557556152,26.77483558654785,2.8289942741394043,11.269590377807617,1.8483384847640991,49.1618766784668,54.06068420410156,56.75764083862305,7.48777961730957,16.018474578857422,16.89330291748047,41.6512565612793,31.966388702392578,21.269145965576172,45.793949127197266,4.74448823928833,24.733076095581055,45.44085693359375,10.578675270080566,20.7017765045166,10.575408935546875,36.79738235473633
2006-01-27,33.70808029174805,29.902650833129883,72.87321472167969,22.624765396118164,7.778027534484863,7.541780471801758,3.752286434173584,16.257366180419922,21.81797981262207,23.325429916381836,34.91680145263672,32.22261047363281,25.722410202026367,5.245855331420898,2.4379796981811523,10.552374839782715,10.055134773254395,12.066465377807617,28.026546478271484,10.86881160736084,27.443445205688477,2.848529815673828,11.462959289550781,1.8453316688537598,49.68527603149414,54.641605377197266,57.698795318603516,7.566225051879883,16.093868255615234,16.52104377746582,42.012229919433594,32.04174041748047,21.25678062438965,46.808624267578125,4.782516956329346,25.361507415771484,45.70814514160156,10.689249992370605,20.688196182250977,10.575408935546875,36.90273666381836
2006-01-30,34.59121322631836,29.082204818725586,72.90067291259766,22.28462791442871,7.778027534484863,7.611355781555176,3.7555148601531982,16.102872848510742,21.516176223754883,23.363332748413086,34.677310943603516,32.22261047363281,25.952754974365234,5.257796287536621,2.4257636070251465,10.440366744995117,10.157780647277832,12.146970748901367,28.22281265258789,10.890900611877441,27.0787410736084,2.8314363956451416,11.408817291259766,1.860366940498352,49.42357635498047,53.8065299987793,57.54195022583008,7.483853816986084,16.053272247314453,16.178560256958008,41.4013557434082,32.35476303100586,21.03417205810547,46.415771484375,4.767328262329102,25.563493728637695,45.63178253173828,10.643195152282715,20.60651969909668,10.463231086730957,37.06076431274414
2006-01-31,34.15461349487305,29.53606414794922,72.81831359863281,21.7568359375,7.778027534484863,7.708755970001221,3.8233275413513184,16.42705726623535,21.610488891601562,23.521282196044922,35.156288146972656,32.25250244140625,25.91984748840332,5.186152935028076,2.430999279022217,10.404367446899414,10.215259552001953,12.334814071655273,28.22281265258789,10.957175254821777,27.261096954345703,2.8607399463653564,11.358541488647461,1.8774069547653198,49.94697189331055,53.91545867919922,56.5350227355957,7.342653274536133,16.11126708984375,16.186002731323242,41.901161193847656,32.557640075683594,21.269145965576172,46.07208251953125,4.774903774261475,25.49615478515625,46.357303619384766,10.643195152282715,20.83791160583496,10.327046394348145,36.72214126586914
2006-02-01,34.11491775512695,29.50115203857422,71.93999481201172,21.956226348876953,7.778027534484863,7.787606716156006,3.8568382263183594,16.601816177368164,21.83055877685547,23.691858291625977,36.06632614135742,33.0296745300293,26.364093780517578,5.178193092346191,2.430999279022217,10.548373222351074,10.215259552001953,12.518640518188477,28.458328247070312,11.068511962890625,27.838529586791992,2.898590326309204,11.505498886108398,1.9185032844543457,49.98435974121094,54.82312774658203,56.3123779296875,7.311272144317627,16.250455856323242,16.34235191345215,42.40098571777344,33.19139862060547,21.36806297302246,46.280723571777344,4.774903774261475,25.59716796875,46.16637420654297,10.864352226257324,20.633743286132812,10.587411880493164,37.66276168823242
2006-02-02,34.333221435546875,29.09966468811035,70.43038940429688,21.815479278564453,7.778027534484863,7.667013168334961,3.7949976921081543,16.325748443603516,21.37156105041504,23.944578170776367,35.44367218017578,32.73076248168945,25.941787719726562,5.142370700836182,2.4257636070251465,10.56037425994873,10.046923637390137,12.532058715820312,28.22281265258789,11.310633659362793,27.565006256103516,2.919346809387207,11.416550636291504,1.8974543809890747,49.64789962768555,54.60527801513672,55.75577163696289,7.0876970291137695,15.885080337524414,16.245563507080078,41.6512565612793,32.73155212402344,21.281509399414062,45.3968620300293,4.710302352905273,24.878955841064453,46.433677673339844,10.763006210327148,20.810678482055664,10.33503532409668,37.13601303100586
2006-02-03,34.2339973449707,29.378955841064453,70.91345977783203,21.721647262573242,7.778027534484863,7.611355781555176,3.7949976921081543,16.34854507446289,21.176647186279297,24.16569709777832,35.06049346923828,32.85032653808594,26.051475524902344,5.194113731384277,2.4083120822906494,10.624374389648438,10.018183708190918,12.542789459228516,28.693845748901367,11.288540840148926,27.32188606262207,2.9913840293884277,11.505498886108398,1.9004610776901245,49.34880828857422,54.714202880859375,56.1656494140625,7.115153789520264,16.001075744628906,16.305126190185547,42.06776809692383,32.461029052734375,21.281509399414062,45.46437454223633,4.74448823928833,25.024839401245117,46.05183029174805,10.790651321411133,21.028423309326172,10.24293327331543,36.92530822753906
2006-02-06,33.817230224609375,29.431331634521484,71.473388671875,21.7568359375,7.778027534484863,7.523229122161865,3.808016061782837,16.328283309936523,21.25209617614746,24.418413162231445,34.342037200927734,33.089454650878906,26.287317276000977,5.134411334991455,2.4065663814544678,10.54037094116211,10.100297927856445,12.450207710266113,28.73309326171875,11.398114204406738,27.230710983276367,2.973069667816162,11.544174194335938,1.9626071453094482,49.46095657348633,54.641605377197266,55.71023178100586,7.0327839851379395,16.001075744628906,16.40936279296875,41.567955017089844,32.30839538574219,21.157869338989258,45.746761322021484,4.748294353485107,25.114620208740234,47.12101745605469,10.772187232971191,20.7017765045166,10.222901344299316,37.36928939819336
2006-02-07,33.7199821472168,29.431331634521484,71.8521728515625,22.014867782592773,7.778027534484863,7.527865886688232,3.8405628204345703,16.3308162689209,21.28982162475586,24.620586395263672,35.108394622802734,32.99978256225586,26.161170959472656,5.206053733825684,2.3978404998779297,10.48037052154541,9.936068534851074,12.33750057220459,28.811603546142578,11.634048461914062,27.017969131469727,2.9486491680145264,11.555779457092285,1.9325364828109741,49.04972457885742,54.09701156616211,55.8873405456543,7.103388786315918,15.838685989379883,16.245563507080078,41.8178596496582,32.238826751708984,20.823974609375,45.78356170654297,4.72168493270874,24.81162452697754,47.884727478027344,10.753776550292969,20.674551010131836,10.379118919372559,37.775638580322266
